"","isolate","tri","growth","conidia","ascospore","perit_day3","perit_day6","ec50_teb","ec50_met"
"1","18SG01ii","15ADON",3.3535,19.6875,22.1875,0,7.0506454816286,0.0490968970095372,0.0622650447562544
"2","18SG09i","15ADON",5.72175,31.5625,38.125,15.2888446215139,30.9513958125623,0.0411442637132063,0.0319421756597771
"3","18SG119i","15ADON",5.80625,12.1875,30.3125,6.3,10.2826079853785,0.192946443074398,0.00714866813845606
"4","18SG11iv","15ADON",3.385625,20.9375,64.6875,16.4242511520737,23.7162363455809,0.361574845533998,0.0330584947957742
"5","18SG120i","15ADON",15.4015,33.75,39.375,1.50582329317269,1.90269518989563,0.0505182709852838,0.00235107212856977
"6","18SG12i","15ADON",11.234625,36.875,37.5,18.1242063492063,18.814041307946,0.0144817708292778,0.00142599641491197
"7","18SG135ii","15ADON",7.386375,43.75,41.875,4.38247011952191,15.1,0.0649317180964748,0.0102487426019901
"8","18SG140i","3ADON",10.2785,32.8125,43.75,8.91434262948207,14.1509433962264,0.167998185921039,0.0158268169727803
"9","18SG140ii","3ADON",9.713,19.0625,34.6875,2.15167555584115,25.4339357429719,0.0520469230274033,0.0197795622201368
"10","18SG145i","3ADON",10.87025,54.375,24.6875,3.05,7.79543197616683,0.031772539333332,0.00219779760484935
"11","18SG161i","15ADON",10.14025,29.0625,45.9375,0,1.83674712227071,0.0481164034116169,0.00102010542428448
"12","18SG168i","3ADON",7.881125,58.125,41.875,3.4,1.9,0.120807285770646,0.00856849185246102
"13","18SG168iii","3ADON",8.98325,38.4375,72.1875,0,0,0.210686827735442,0.0114956418015358
"14","18SG168iv","3ADON",4.839875,38.4375,51.875,0,0,0.351260748976044,0.0699449270594311
"15","18SG168v","3ADON",7.0045,41.875,34.6875,0,5.65,0.341495495252103,0.00927166223798234
"16","18SG178ii","3ADON",6.472125,38.75,18.4375,10.05,24.3641076769691,0.123260632878565,0.0855164066113793
"17","18SG178iii","3ADON",6.736125,41.875,55,30.6911290322581,33.3578265204387,0.0360337961060452,0.0133571558302574
"18","18SG180ii","15ADON",6.998875,56.5625,23.4375,1.34462151394422,11.75,0.126179962320956,0.00712218637135841
"19","18SG182i","15ADON",6.7845,18.4375,43.75,0.600621706721501,13.3692245282037,0.103463244833147,0.02005507130056
"20","18SG20iii","3ADON",12.475125,43.125,44.0625,3.5,8.70483870967742,0.0562655241066426,0.00720848999749998
"21","18SG20iv","3ADON",8.630875,45.625,25.9375,2.4394485549864,11.6913108242304,0.0844609990334468,0.0243831437999472
"22","18SG25iii","15ADON",2.812875,19.375,66.5625,4.38690476190476,8.17862903225806,0.271484811052652,0.127533918471633
"23","18SG29i","15ADON",8.762,18.125,45,0.35042242703533,9.86029003357356,0.0163821514070945,0.00256185842837683
"24","18SG34i","15ADON",4.574625,22.8125,30.625,3.3835904628331,10.9860476663357,0.0304808759894134,0.00882838135566679
"25","18SG67i","15ADON",7.250625,17.8125,7.8125,0,0.94715852442672,0.413819098193668,0.0277659253610901
"26","18SG74i","3ADON",12.730375,52.5,59.375,13.8866533864542,17.279046673287,0.0723850564902213,0.00326444735296997
"27","18SG74iii","3ADON",12.457875,49.0625,34.375,0,9.17248255234297,0.0352125162131385,0.00365179871690656
"28","18SG76iii","15ADON",3.441375,17.8125,39.0625,4.58167330677291,7.59682224428997,0.357834768231263,0.0363855587298519
"29","18SG84i","3ADON",6.581625,6.875,30.3125,2.26814516129032,6.76095643746785,0.0435299630218944,0.00633158818841697
"30","18SG94i","3ADON",10.53675,51.5625,69.6875,15.0094401510424,18.7381526104418,0.0330749560683985,0.00263143960679594
"31","18SG94iii","3ADON",7.78375,44.6875,45.3125,15.8706253585772,22.6321036889332,0.0292495712085739,0.00359724041546019
